"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","LP","C1","o3","LP_C1","C3","","","","","","","","",""
"","","","","","survey-text","1","238264","0.0-1.0","LP","C1","o3","LP_C1","C3","238214","{""participant_name"":""Mara"",""participant_ID"":""020""}","id-question","","","","","",""
"","","","","","survey","2","243137","0.0-2.0","LP","C1","o3","LP_C1","C3","4798","{""condition"":""LP"",""counterbalancing"":""1"",""order"":3}","version","[]","","","","",""
"true","","","","","fullscreen","3","246452","0.0-3.0","LP","C1","o3","LP_C1","C3","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","256090","0.0-4.0-0.0-0.0-0.0-0.0","LP","C1","o3","LP_C1","C3","null","null","demo","","[""video/shape_inst1_C1.mp4""]","","","",""
"","","","","","video-button-response","5","264550","0.0-4.0-0.0-0.0-0.0-1.0","LP","C1","o3","LP_C1","C3","8442","0","demo","","[""video/shape_inst2_C1.mp4""]","","","",""
"","","","","","video-button-response","6","266027","0.0-4.0-0.0-0.0-0.0-2.0","LP","C1","o3","LP_C1","C3","null","null","demo","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","video-button-response","7","274083","0.0-4.0-0.0-0.0-0.0-3.0","LP","C1","o3","LP_C1","C3","8053","0","demo","","[""video/shape_inst3_C1.mp4""]","","","",""
"","","","","","video-button-response","8","275564","0.0-4.0-0.0-0.0-0.0-4.0","LP","C1","o3","LP_C1","C3","null","null","demo","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","video-button-response","9","285505","0.0-4.0-0.0-0.0-0.0-5.0","LP","C1","o3","LP_C1","C3","null","null","demo","","[""video/shape_inst4_C1.mp4""]","","","",""
"","","","","","video-button-response","10","296833","0.0-4.0-0.0-0.0-0.0-6.0","LP","C1","o3","LP_C1","C3","null","null","demo","","[""video/shape_inst5_C1.mp4""]","","","",""
"","","","","","html-button-response","11","301832","0.0-4.0-0.0-0.0-0.0-7.0","LP","C1","o3","LP_C1","C3","4996","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","305753","0.0-4.0-1.0-0.0-0.0-0.0","LP","C1","o3","LP_C1","C3","3917","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/34o.png"",""img/shape/45g.png"",""img/shape/26b.png"",""img/shape/83r.png""]","[]","false",""
"","","","","","video-button-response","13","307228","0.0-4.0-1.0-0.0-0.0-1.0","LP","C1","o3","LP_C1","C3","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","14","311484","0.0-4.0-1.0-0.0-0.0-0.1","LP","C1","o3","LP_C1","C3","4252","3","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/13b.png"",""img/shape/74r.png"",""img/shape/46o.png"",""img/shape/85g.png""]","[]","false",""
"","","","","","video-button-response","15","312964","0.0-4.0-1.0-0.0-0.0-1.1","LP","C1","o3","LP_C1","C3","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","16","317310","0.0-4.0-1.0-0.0-0.0-0.2","LP","C1","o3","LP_C1","C3","4345","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/35b.png"",""img/shape/64o.png"",""img/shape/23g.png"",""img/shape/16r.png""]","[]","false",""
"","","","","","video-button-response","17","318844","0.0-4.0-1.0-0.0-0.0-1.2","LP","C1","o3","LP_C1","C3","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","18","321033","0.0-4.0-1.0-0.0-0.0-0.3","LP","C1","o3","LP_C1","C3","2187","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/43r.png"",""img/shape/15g.png"",""img/shape/66b.png"",""img/shape/24o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","19","322512","0.0-4.0-1.0-0.0-0.0-1.3","LP","C1","o3","LP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","20","324933","0.0-4.0-1.0-0.0-0.0-0.4","LP","C1","o3","LP_C1","C3","2419","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/14g.png"",""img/shape/33o.png"",""img/shape/56r.png"",""img/shape/75b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","21","326419","0.0-4.0-1.0-0.0-0.0-1.4","LP","C1","o3","LP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","22","328833","0.0-4.0-1.0-0.0-0.0-0.5","LP","C1","o3","LP_C1","C3","2412","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/43o.png"",""img/shape/65r.png"",""img/shape/54g.png"",""img/shape/36b.png""]","[]","false",""
"","","","","","video-button-response","23","330298","0.0-4.0-1.0-0.0-0.0-1.5","LP","C1","o3","LP_C1","C3","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","24","330832","0.0-4.0-1.0-0.0-0.0-0.6","LP","C1","o3","LP_C1","C3","534","0","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/25r.png"",""img/shape/73o.png"",""img/shape/86g.png"",""img/shape/44b.png""]","[]","false",""
"","","","","","video-button-response","25","332305","0.0-4.0-1.0-0.0-0.0-1.6","LP","C1","o3","LP_C1","C3","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","26","334362","0.0-4.0-1.0-0.0-0.0-0.7","LP","C1","o3","LP_C1","C3","2055","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/63g.png"",""img/shape/76b.png"",""img/shape/15o.png"",""img/shape/34r.png""]","[]","false",""
"","","","","","video-button-response","27","335823","0.0-4.0-1.0-0.0-0.0-1.7","LP","C1","o3","LP_C1","C3","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","video-button-response","28","348625","0.0-4.0-1.0-2.0","LP","C1","o3","LP_C1","C3","null","null","night1","","[""video/night1_LP_C1.mp4""]","","","",""
"","","","","","html-button-response","29","351294","0.0-4.0-2.0-0.0-0.0-0.0","LP","C1","o3","LP_C1","C3","2666","1","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/35g.png"",""img/shape/16b.png"",""img/shape/73r.png"",""img/shape/54o.png""]","[]","false",""
"","","","","","video-button-response","30","352764","0.0-4.0-2.0-0.0-0.0-1.0","LP","C1","o3","LP_C1","C3","null","null","day-2","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","31","355294","0.0-4.0-2.0-0.0-0.0-0.1","LP","C1","o3","LP_C1","C3","2528","0","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/55r.png"",""img/shape/26g.png"",""img/shape/43b.png"",""img/shape/74o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","32","356796","0.0-4.0-2.0-0.0-0.0-1.1","LP","C1","o3","LP_C1","C3","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","33","359086","0.0-4.0-2.0-0.0-0.0-0.2","LP","C1","o3","LP_C1","C3","2288","2","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/44g.png"",""img/shape/33r.png"",""img/shape/65b.png"",""img/shape/16o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","34","360572","0.0-4.0-2.0-0.0-0.0-1.2","LP","C1","o3","LP_C1","C3","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","35","363222","0.0-4.0-2.0-0.0-0.0-0.3","LP","C1","o3","LP_C1","C3","2649","2","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/64r.png"",""img/shape/13g.png"",""img/shape/56b.png"",""img/shape/45o.png""]","[]","false",""
"","","","","","video-button-response","36","364689","0.0-4.0-2.0-0.0-0.0-1.3","LP","C1","o3","LP_C1","C3","null","null","day-2","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","37","367767","0.0-4.0-2.0-0.0-0.0-0.4","LP","C1","o3","LP_C1","C3","3077","3","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/75g.png"",""img/shape/63o.png"",""img/shape/86r.png"",""img/shape/54b.png""]","[]","false",""
"","","","","","video-button-response","38","369255","0.0-4.0-2.0-0.0-0.0-1.4","LP","C1","o3","LP_C1","C3","null","null","day-2","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","39","376210","0.0-4.0-2.0-0.0-0.0-0.5","LP","C1","o3","LP_C1","C3","6953","0","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/15r.png"",""img/shape/34b.png"",""img/shape/66g.png"",""img/shape/23o.png""]","[]","false",""
"","","","","","video-button-response","40","377703","0.0-4.0-2.0-0.0-0.0-1.5","LP","C1","o3","LP_C1","C3","null","null","day-2","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","41","381377","0.0-4.0-2.0-0.0-0.0-0.6","LP","C1","o3","LP_C1","C3","3672","2","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/25b.png"",""img/shape/14o.png"",""img/shape/36g.png"",""img/shape/53r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","42","382867","0.0-4.0-2.0-0.0-0.0-1.6","LP","C1","o3","LP_C1","C3","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","43","384772","0.0-4.0-2.0-0.0-0.0-0.7","LP","C1","o3","LP_C1","C3","1904","1","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/53g.png"",""img/shape/46r.png"",""img/shape/85o.png"",""img/shape/74b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","44","386258","0.0-4.0-2.0-0.0-0.0-1.7","LP","C1","o3","LP_C1","C3","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","video-button-response","45","400552","0.0-4.0-2.0-2.0","LP","C1","o3","LP_C1","C3","null","null","night2","","[""video/night2_LP_C1.mp4""]","","","",""
"","","","","","html-button-response","46","403428","0.0-4.0-3.0-0.0-0.0","LP","C1","o3","LP_C1","C3","2874","1","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/45r.png"",""img/shape/13o.png"",""img/shape/24b.png"",""img/shape/56g.png""]","[]","false",""
"","","","","","video-button-response","47","404905","0.0-4.0-3.0-0.0-1.0","LP","C1","o3","LP_C1","C3","null","null","day-3","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","48","408096","0.0-4.0-3.0-0.0-0.1","LP","C1","o3","LP_C1","C3","3190","3","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/16g.png"",""img/shape/54r.png"",""img/shape/73b.png"",""img/shape/35o.png""]","[]","false",""
"","","","","","video-button-response","49","409576","0.0-4.0-3.0-0.0-1.1","LP","C1","o3","LP_C1","C3","null","null","day-3","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","50","411208","0.0-4.0-3.0-0.0-0.2","LP","C1","o3","LP_C1","C3","1632","0","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/85r.png"",""img/shape/46b.png"",""img/shape/53o.png"",""img/shape/24g.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","51","412691","0.0-4.0-3.0-0.0-1.2","LP","C1","o3","LP_C1","C3","null","null","day-3","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","52","415625","0.0-4.0-3.0-0.0-0.3","LP","C1","o3","LP_C1","C3","2932","2","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/15b.png"",""img/shape/83g.png"",""img/shape/44r.png"",""img/shape/26o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","53","417106","0.0-4.0-3.0-0.0-1.3","LP","C1","o3","LP_C1","C3","null","null","day-3","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","54","419304","0.0-4.0-3.0-0.0-0.4","LP","C1","o3","LP_C1","C3","2195","0","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/55b.png"",""img/shape/74g.png"",""img/shape/63r.png"",""img/shape/36o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","55","420799","0.0-4.0-3.0-0.0-1.4","LP","C1","o3","LP_C1","C3","null","null","day-3","","[""video/trial_correct_C1.mp4""]","","","",""
