"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","NLP","C1","o1","NLP_C1","C3","","","","","","","","",""
"","","","","","survey-text","1","1686896","0.0-1.0","NLP","C1","o1","NLP_C1","C3","1686857","{""participant_name"":""Pierce"",""participant_ID"":""025""}","id-question","","","","","",""
"","","","","","survey","2","1692741","0.0-2.0","NLP","C1","o1","NLP_C1","C3","5779","{""condition"":""NLP"",""counterbalancing"":""1"",""order"":1}","version","[]","","","","",""
"true","","","","","fullscreen","3","1704406","0.0-3.0","NLP","C1","o1","NLP_C1","C3","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","1713972","0.0-4.0-0.0-0.0-0.0-0.0","NLP","C1","o1","NLP_C1","C3","null","null","demo","","[""video/shape_inst1_C1.mp4""]","","","",""
"","","","","","video-button-response","5","1726906","0.0-4.0-0.0-0.0-0.0-1.0","NLP","C1","o1","NLP_C1","C3","12930","0","demo","","[""video/shape_inst2_C1.mp4""]","","","",""
"","","","","","video-button-response","6","1728393","0.0-4.0-0.0-0.0-0.0-2.0","NLP","C1","o1","NLP_C1","C3","null","null","demo","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","video-button-response","7","1736490","0.0-4.0-0.0-0.0-0.0-3.0","NLP","C1","o1","NLP_C1","C3","8094","0","demo","","[""video/shape_inst3_C1.mp4""]","","","",""
"","","","","","video-button-response","8","1737972","0.0-4.0-0.0-0.0-0.0-4.0","NLP","C1","o1","NLP_C1","C3","null","null","demo","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","video-button-response","9","1747893","0.0-4.0-0.0-0.0-0.0-5.0","NLP","C1","o1","NLP_C1","C3","null","null","demo","","[""video/shape_inst4_C1.mp4""]","","","",""
"","","","","","video-button-response","10","1759199","0.0-4.0-0.0-0.0-0.0-6.0","NLP","C1","o1","NLP_C1","C3","null","null","demo","","[""video/shape_inst5_C1.mp4""]","","","",""
"","","","","","html-button-response","11","1765117","0.0-4.0-0.0-0.0-0.0-7.0","NLP","C1","o1","NLP_C1","C3","5915","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","1776609","0.0-4.0-1.0-1.0-0.0-0.0","NLP","C1","o1","NLP_C1","C3","11489","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/43r.png"",""img/shape/15g.png"",""img/shape/66b.png"",""img/shape/24o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","13","1778111","0.0-4.0-1.0-1.0-0.0-1.0","NLP","C1","o1","NLP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","14","1782277","0.0-4.0-1.0-1.0-0.0-0.1","NLP","C1","o1","NLP_C1","C3","4164","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/25r.png"",""img/shape/73o.png"",""img/shape/86g.png"",""img/shape/44b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","15","1783764","0.0-4.0-1.0-1.0-0.0-1.1","NLP","C1","o1","NLP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","16","1787899","0.0-4.0-1.0-1.0-0.0-0.2","NLP","C1","o1","NLP_C1","C3","4134","3","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/34o.png"",""img/shape/45g.png"",""img/shape/26b.png"",""img/shape/83r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","17","1789375","0.0-4.0-1.0-1.0-0.0-1.2","NLP","C1","o1","NLP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","18","1792279","0.0-4.0-1.0-1.0-0.0-0.3","NLP","C1","o1","NLP_C1","C3","2902","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/63g.png"",""img/shape/76b.png"",""img/shape/15o.png"",""img/shape/34r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","19","1793771","0.0-4.0-1.0-1.0-0.0-1.3","NLP","C1","o1","NLP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","20","1797172","0.0-4.0-1.0-1.0-0.0-0.4","NLP","C1","o1","NLP_C1","C3","3399","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/35b.png"",""img/shape/64o.png"",""img/shape/23g.png"",""img/shape/16r.png""]","[]","false",""
"","","","","","video-button-response","21","1798655","0.0-4.0-1.0-1.0-0.0-1.4","NLP","C1","o1","NLP_C1","C3","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","22","1803089","0.0-4.0-1.0-1.0-0.0-0.5","NLP","C1","o1","NLP_C1","C3","4432","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/43o.png"",""img/shape/65r.png"",""img/shape/54g.png"",""img/shape/36b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","23","1804565","0.0-4.0-1.0-1.0-0.0-1.5","NLP","C1","o1","NLP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","24","1808974","0.0-4.0-1.0-1.0-0.0-0.6","NLP","C1","o1","NLP_C1","C3","4408","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/14g.png"",""img/shape/33o.png"",""img/shape/56r.png"",""img/shape/75b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","25","1810474","0.0-4.0-1.0-1.0-0.0-1.6","NLP","C1","o1","NLP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","26","1814308","0.0-4.0-1.0-1.0-0.0-0.7","NLP","C1","o1","NLP_C1","C3","3833","3","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/13b.png"",""img/shape/74r.png"",""img/shape/46o.png"",""img/shape/85g.png""]","[]","false",""
"","","","","","video-button-response","27","1815786","0.0-4.0-1.0-1.0-0.0-1.7","NLP","C1","o1","NLP_C1","C3","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","video-button-response","28","1831232","0.0-4.0-1.0-2.0","NLP","C1","o1","NLP_C1","C3","null","null","night1","","[""video/night1_NLP_C1.mp4""]","","","",""
"","","","","","html-button-response","29","1836487","0.0-4.0-2.0-1.0-0.0-0.0","NLP","C1","o1","NLP_C1","C3","5253","1","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/44g.png"",""img/shape/33r.png"",""img/shape/65b.png"",""img/shape/16o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","30","1837994","0.0-4.0-2.0-1.0-0.0-1.0","NLP","C1","o1","NLP_C1","C3","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
