"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","NLP","C1","o1","NLP_C1","C4","","","","","","","","",""
"","","","","","survey-text","1","14652","0.0-1.0","NLP","C1","o1","NLP_C1","C4","14644","{""participant_name"":""Jasper"",""participant_ID"":""024""}","id-question","","","","","",""
"","","","","","survey","2","54131","0.0-2.0","NLP","C1","o1","NLP_C1","C4","39423","{""condition"":""NLP"",""counterbalancing"":""1"",""order"":1}","version","[]","","","","",""
"true","","","","","fullscreen","3","58963","0.0-3.0","NLP","C1","o1","NLP_C1","C4","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","68679","0.0-4.0-0.0-0.0-0.0-0.0","NLP","C1","o1","NLP_C1","C4","null","null","demo","","[""video/shape_inst1_C1.mp4""]","","","",""
"","","","","","video-button-response","5","77436","0.0-4.0-0.0-0.0-0.0-1.0","NLP","C1","o1","NLP_C1","C4","8753","0","demo","","[""video/shape_inst2_C1.mp4""]","","","",""
"","","","","","video-button-response","6","78919","0.0-4.0-0.0-0.0-0.0-2.0","NLP","C1","o1","NLP_C1","C4","null","null","demo","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","video-button-response","7","88773","0.0-4.0-0.0-0.0-0.0-3.0","NLP","C1","o1","NLP_C1","C4","9852","0","demo","","[""video/shape_inst3_C1.mp4""]","","","",""
"","","","","","video-button-response","8","90247","0.0-4.0-0.0-0.0-0.0-4.0","NLP","C1","o1","NLP_C1","C4","null","null","demo","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","video-button-response","9","100167","0.0-4.0-0.0-0.0-0.0-5.0","NLP","C1","o1","NLP_C1","C4","null","null","demo","","[""video/shape_inst4_C1.mp4""]","","","",""
"","","","","","video-button-response","10","111473","0.0-4.0-0.0-0.0-0.0-6.0","NLP","C1","o1","NLP_C1","C4","null","null","demo","","[""video/shape_inst5_C1.mp4""]","","","",""
"","","","","","html-button-response","11","115515","0.0-4.0-0.0-0.0-0.0-7.0","NLP","C1","o1","NLP_C1","C4","4040","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","120237","0.0-4.0-1.0-1.0-0.0-0.0","NLP","C1","o1","NLP_C1","C4","4721","0","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/14g.png"",""img/shape/33o.png"",""img/shape/56r.png"",""img/shape/75b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","13","121713","0.0-4.0-1.0-1.0-0.0-1.0","NLP","C1","o1","NLP_C1","C4","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","14","125786","0.0-4.0-1.0-1.0-0.0-0.1","NLP","C1","o1","NLP_C1","C4","4071","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/43r.png"",""img/shape/15g.png"",""img/shape/66b.png"",""img/shape/24o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","15","127260","0.0-4.0-1.0-1.0-0.0-1.1","NLP","C1","o1","NLP_C1","C4","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","16","129328","0.0-4.0-1.0-1.0-0.0-0.2","NLP","C1","o1","NLP_C1","C4","2067","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/25r.png"",""img/shape/73o.png"",""img/shape/86g.png"",""img/shape/44b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","17","130803","0.0-4.0-1.0-1.0-0.0-1.2","NLP","C1","o1","NLP_C1","C4","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","18","132121","0.0-4.0-1.0-1.0-0.0-0.3","NLP","C1","o1","NLP_C1","C4","1318","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/35b.png"",""img/shape/64o.png"",""img/shape/23g.png"",""img/shape/16r.png""]","[]","false",""
"","","","","","video-button-response","19","133598","0.0-4.0-1.0-1.0-0.0-1.3","NLP","C1","o1","NLP_C1","C4","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","20","136834","0.0-4.0-1.0-1.0-0.0-0.4","NLP","C1","o1","NLP_C1","C4","3235","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/13b.png"",""img/shape/74r.png"",""img/shape/46o.png"",""img/shape/85g.png""]","[]","false",""
"","","","","","video-button-response","21","138333","0.0-4.0-1.0-1.0-0.0-1.4","NLP","C1","o1","NLP_C1","C4","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","22","142459","0.0-4.0-1.0-1.0-0.0-0.5","NLP","C1","o1","NLP_C1","C4","4125","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/63g.png"",""img/shape/76b.png"",""img/shape/15o.png"",""img/shape/34r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","23","143943","0.0-4.0-1.0-1.0-0.0-1.5","NLP","C1","o1","NLP_C1","C4","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","24","145886","0.0-4.0-1.0-1.0-0.0-0.6","NLP","C1","o1","NLP_C1","C4","1940","0","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/34o.png"",""img/shape/45g.png"",""img/shape/26b.png"",""img/shape/83r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","25","147358","0.0-4.0-1.0-1.0-0.0-1.6","NLP","C1","o1","NLP_C1","C4","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","26","150118","0.0-4.0-1.0-1.0-0.0-0.7","NLP","C1","o1","NLP_C1","C4","2759","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/43o.png"",""img/shape/65r.png"",""img/shape/54g.png"",""img/shape/36b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","27","151602","0.0-4.0-1.0-1.0-0.0-1.7","NLP","C1","o1","NLP_C1","C4","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","video-button-response","28","167069","0.0-4.0-1.0-2.0","NLP","C1","o1","NLP_C1","C4","null","null","night1","","[""video/night1_NLP_C1.mp4""]","","","",""
"","","","","","html-button-response","29","169184","0.0-4.0-2.0-1.0-0.0-0.0","NLP","C1","o1","NLP_C1","C4","2113","1","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/35g.png"",""img/shape/16b.png"",""img/shape/73r.png"",""img/shape/54o.png""]","[]","false",""
"","","","","","video-button-response","30","170656","0.0-4.0-2.0-1.0-0.0-1.0","NLP","C1","o1","NLP_C1","C4","null","null","day-2","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","31","175379","0.0-4.0-2.0-1.0-0.0-0.1","NLP","C1","o1","NLP_C1","C4","4722","2","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/75g.png"",""img/shape/63o.png"",""img/shape/86r.png"",""img/shape/54b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","32","176862","0.0-4.0-2.0-1.0-0.0-1.1","NLP","C1","o1","NLP_C1","C4","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","33","179892","0.0-4.0-2.0-1.0-0.0-0.2","NLP","C1","o1","NLP_C1","C4","3029","3","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/15r.png"",""img/shape/34b.png"",""img/shape/66g.png"",""img/shape/23o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","34","181364","0.0-4.0-2.0-1.0-0.0-1.2","NLP","C1","o1","NLP_C1","C4","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","35","183305","0.0-4.0-2.0-1.0-0.0-0.3","NLP","C1","o1","NLP_C1","C4","1940","1","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/64r.png"",""img/shape/13g.png"",""img/shape/56b.png"",""img/shape/45o.png""]","[]","false",""
"","","","","","video-button-response","36","184777","0.0-4.0-2.0-1.0-0.0-1.3","NLP","C1","o1","NLP_C1","C4","null","null","day-2","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","37","186401","0.0-4.0-2.0-1.0-0.0-0.4","NLP","C1","o1","NLP_C1","C4","1623","0","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/55r.png"",""img/shape/26g.png"",""img/shape/43b.png"",""img/shape/74o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","38","187869","0.0-4.0-2.0-1.0-0.0-1.4","NLP","C1","o1","NLP_C1","C4","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","39","189400","0.0-4.0-2.0-1.0-0.0-0.5","NLP","C1","o1","NLP_C1","C4","1529","2","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/25b.png"",""img/shape/14o.png"",""img/shape/36g.png"",""img/shape/53r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","40","190877","0.0-4.0-2.0-1.0-0.0-1.5","NLP","C1","o1","NLP_C1","C4","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","41","192860","0.0-4.0-2.0-1.0-0.0-0.6","NLP","C1","o1","NLP_C1","C4","1980","2","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/44g.png"",""img/shape/33r.png"",""img/shape/65b.png"",""img/shape/16o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","42","194333","0.0-4.0-2.0-1.0-0.0-1.6","NLP","C1","o1","NLP_C1","C4","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","43","196147","0.0-4.0-2.0-1.0-0.0-0.7","NLP","C1","o1","NLP_C1","C4","1812","2","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/53g.png"",""img/shape/46r.png"",""img/shape/85o.png"",""img/shape/74b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","44","197619","0.0-4.0-2.0-1.0-0.0-1.7","NLP","C1","o1","NLP_C1","C4","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
