"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","2","0.0-0.0","NLP","C2","o2","NLP_C2","C4","","","","","","","","",""
"","","","","","survey-text","1","17340","0.0-1.0","NLP","C2","o2","NLP_C2","C4","17334","{""participant_name"":""Claire"",""participant_ID"":""019""}","id-question","","","","","",""
"","","","","","survey","2","64309","0.0-2.0","NLP","C2","o2","NLP_C2","C4","46909","{""condition"":""NLP"",""counterbalancing"":""2"",""order"":2}","version","[]","","","","",""
"true","","","","","fullscreen","3","67252","0.0-3.0","NLP","C2","o2","NLP_C2","C4","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","76509","0.0-4.0-0.0-0.0-0.0-0.0","NLP","C2","o2","NLP_C2","C4","null","null","demo","","[""video/shape_inst1_C2.mp4""]","","","",""
"","","","","","video-button-response","5","85117","0.0-4.0-0.0-0.0-0.0-1.0","NLP","C2","o2","NLP_C2","C4","8605","0","demo","","[""video/shape_inst2_C2.mp4""]","","","",""
"","","","","","video-button-response","6","86599","0.0-4.0-0.0-0.0-0.0-2.0","NLP","C2","o2","NLP_C2","C4","null","null","demo","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","video-button-response","7","96935","0.0-4.0-0.0-0.0-0.0-3.0","NLP","C2","o2","NLP_C2","C4","10334","0","demo","","[""video/shape_inst3_C2.mp4""]","","","",""
"","","","","","video-button-response","8","98423","0.0-4.0-0.0-0.0-0.0-4.0","NLP","C2","o2","NLP_C2","C4","null","null","demo","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","video-button-response","9","108040","0.0-4.0-0.0-0.0-0.0-5.0","NLP","C2","o2","NLP_C2","C4","null","null","demo","","[""video/shape_inst4_C2.mp4""]","","","",""
"","","","","","video-button-response","10","119112","0.0-4.0-0.0-0.0-0.0-6.0","NLP","C2","o2","NLP_C2","C4","null","null","demo","","[""video/shape_inst5_C2.mp4""]","","","",""
"","","","","","html-button-response","11","123637","0.0-4.0-0.0-0.0-0.0-7.0","NLP","C2","o2","NLP_C2","C4","4524","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","128541","0.0-4.0-1.0-1.0-0.0-0.0","NLP","C2","o2","NLP_C2","C4","4900","0","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/14g.png"",""img/shape/33o.png"",""img/shape/56r.png"",""img/shape/75b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","13","130013","0.0-4.0-1.0-1.0-0.0-1.0","NLP","C2","o2","NLP_C2","C4","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","14","132470","0.0-4.0-1.0-1.0-0.0-0.1","NLP","C2","o2","NLP_C2","C4","2456","3","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/34o.png"",""img/shape/45g.png"",""img/shape/26b.png"",""img/shape/83r.png""]","[0,1,2,3]","true",""
