"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","7","0.0-0.0","NLP","C2","o1","NLP_C2","C3","","","","","","","","",""
"","","","","","survey-text","1","11835","0.0-1.0","NLP","C2","o1","NLP_C2","C3","11799","{""participant_name"":""Lucy"",""participant_ID"":""010""}","id-question","","","","","",""
"","","","","","survey","2","18113","0.0-2.0","NLP","C2","o1","NLP_C2","C3","6094","{""condition"":""NLP"",""counterbalancing"":""2"",""order"":1}","version","[]","","","","",""
"true","","","","","fullscreen","3","42817","0.0-3.0","NLP","C2","o1","NLP_C2","C3","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","52085","0.0-4.0-0.0-0.0-0.0-0.0","NLP","C2","o1","NLP_C2","C3","null","null","demo","","[""video/shape_inst1_C2.mp4""]","","","",""
"","","","","","video-button-response","5","62673","0.0-4.0-0.0-0.0-0.0-1.0","NLP","C2","o1","NLP_C2","C3","10585","0","demo","","[""video/shape_inst2_C2.mp4""]","","","",""
"","","","","","video-button-response","6","64159","0.0-4.0-0.0-0.0-0.0-2.0","NLP","C2","o1","NLP_C2","C3","null","null","demo","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","video-button-response","7","71293","0.0-4.0-0.0-0.0-0.0-3.0","NLP","C2","o1","NLP_C2","C3","7132","0","demo","","[""video/shape_inst3_C2.mp4""]","","","",""
"","","","","","video-button-response","8","72777","0.0-4.0-0.0-0.0-0.0-4.0","NLP","C2","o1","NLP_C2","C3","null","null","demo","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","video-button-response","9","82357","0.0-4.0-0.0-0.0-0.0-5.0","NLP","C2","o1","NLP_C2","C3","null","null","demo","","[""video/shape_inst4_C2.mp4""]","","","",""
"","","","","","video-button-response","10","93414","0.0-4.0-0.0-0.0-0.0-6.0","NLP","C2","o1","NLP_C2","C3","null","null","demo","","[""video/shape_inst5_C2.mp4""]","","","",""
"","","","","","html-button-response","11","101425","0.0-4.0-0.0-0.0-0.0-7.0","NLP","C2","o1","NLP_C2","C3","8015","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","111381","0.0-4.0-1.0-1.0-0.0-0.0","NLP","C2","o1","NLP_C2","C3","9957","2","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/25r.png"",""img/shape/73o.png"",""img/shape/86g.png"",""img/shape/44b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","13","112887","0.0-4.0-1.0-1.0-0.0-1.0","NLP","C2","o1","NLP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","14","121502","0.0-4.0-1.0-1.0-0.0-0.1","NLP","C2","o1","NLP_C2","C3","8614","1","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/35b.png"",""img/shape/64o.png"",""img/shape/23g.png"",""img/shape/16r.png""]","[]","false",""
"","","","","","video-button-response","15","122976","0.0-4.0-1.0-1.0-0.0-1.1","NLP","C2","o1","NLP_C2","C3","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","16","127486","0.0-4.0-1.0-1.0-0.0-0.2","NLP","C2","o1","NLP_C2","C3","4509","0","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/13b.png"",""img/shape/74r.png"",""img/shape/46o.png"",""img/shape/85g.png""]","[]","false",""
"","","","","","video-button-response","17","128970","0.0-4.0-1.0-1.0-0.0-1.2","NLP","C2","o1","NLP_C2","C3","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","18","135175","0.0-4.0-1.0-1.0-0.0-0.3","NLP","C2","o1","NLP_C2","C3","6204","1","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/43r.png"",""img/shape/15g.png"",""img/shape/66b.png"",""img/shape/24o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","19","136649","0.0-4.0-1.0-1.0-0.0-1.3","NLP","C2","o1","NLP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","20","139203","0.0-4.0-1.0-1.0-0.0-0.4","NLP","C2","o1","NLP_C2","C3","2553","0","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/63g.png"",""img/shape/76b.png"",""img/shape/15o.png"",""img/shape/34r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","21","140681","0.0-4.0-1.0-1.0-0.0-1.4","NLP","C2","o1","NLP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","22","142635","0.0-4.0-1.0-1.0-0.0-0.5","NLP","C2","o1","NLP_C2","C3","1952","0","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/14g.png"",""img/shape/33o.png"",""img/shape/56r.png"",""img/shape/75b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","23","144116","0.0-4.0-1.0-1.0-0.0-1.5","NLP","C2","o1","NLP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","24","147168","0.0-4.0-1.0-1.0-0.0-0.6","NLP","C2","o1","NLP_C2","C3","3051","2","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/43o.png"",""img/shape/65r.png"",""img/shape/54g.png"",""img/shape/36b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","25","148638","0.0-4.0-1.0-1.0-0.0-1.6","NLP","C2","o1","NLP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","26","150887","0.0-4.0-1.0-1.0-0.0-0.7","NLP","C2","o1","NLP_C2","C3","2248","1","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/34o.png"",""img/shape/45g.png"",""img/shape/26b.png"",""img/shape/83r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","27","152371","0.0-4.0-1.0-1.0-0.0-1.7","NLP","C2","o1","NLP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","video-button-response","28","167817","0.0-4.0-1.0-2.0","NLP","C2","o1","NLP_C2","C3","null","null","night1","","[""video/night1_NLP_C2.mp4""]","","","",""
"","","","","","html-button-response","29","173813","0.0-4.0-2.0-1.0-0.0-0.0","NLP","C2","o1","NLP_C2","C3","5993","3","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/44g.png"",""img/shape/33r.png"",""img/shape/65b.png"",""img/shape/16o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","30","175283","0.0-4.0-2.0-1.0-0.0-1.0","NLP","C2","o1","NLP_C2","C3","null","null","day-2","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","31","178393","0.0-4.0-2.0-1.0-0.0-0.1","NLP","C2","o1","NLP_C2","C3","3108","1","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/75g.png"",""img/shape/63o.png"",""img/shape/86r.png"",""img/shape/54b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","32","179870","0.0-4.0-2.0-1.0-0.0-1.1","NLP","C2","o1","NLP_C2","C3","null","null","day-2","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","33","183425","0.0-4.0-2.0-1.0-0.0-0.2","NLP","C2","o1","NLP_C2","C3","3554","3","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/64r.png"",""img/shape/13g.png"",""img/shape/56b.png"",""img/shape/45o.png""]","[]","false",""
"","","","","","video-button-response","34","184913","0.0-4.0-2.0-1.0-0.0-1.2","NLP","C2","o1","NLP_C2","C3","null","null","day-2","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","35","192009","0.0-4.0-2.0-1.0-0.0-0.3","NLP","C2","o1","NLP_C2","C3","7095","0","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/55r.png"",""img/shape/26g.png"",""img/shape/43b.png"",""img/shape/74o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","36","193482","0.0-4.0-2.0-1.0-0.0-1.3","NLP","C2","o1","NLP_C2","C3","null","null","day-2","","[""video/trial_correct_C2.mp4""]","","","",""
