"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","LP","C2","o3","LP_C2","C3","","","","","","","","",""
"","","","","","survey-text","1","334782","0.0-1.0","LP","C2","o3","LP_C2","C3","334732","{""participant_name"":""Peter"",""participant_ID"":""011""}","id-question","","","","","",""
"","","","","","survey","2","354200","0.0-2.0","LP","C2","o3","LP_C2","C3","19349","{""condition"":""LP"",""counterbalancing"":""2"",""order"":3}","version","[]","","","","",""
"true","","","","","fullscreen","3","373627","0.0-3.0","LP","C2","o3","LP_C2","C3","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","383129","0.0-4.0-0.0-0.0-0.0-0.0","LP","C2","o3","LP_C2","C3","null","null","demo","","[""video/shape_inst1_C2.mp4""]","","","",""
"","","","","","video-button-response","5","391066","0.0-4.0-0.0-0.0-0.0-1.0","LP","C2","o3","LP_C2","C3","7918","0","demo","","[""video/shape_inst2_C2.mp4""]","","","",""
"","","","","","video-button-response","6","392536","0.0-4.0-0.0-0.0-0.0-2.0","LP","C2","o3","LP_C2","C3","null","null","demo","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","video-button-response","7","399532","0.0-4.0-0.0-0.0-0.0-3.0","LP","C2","o3","LP_C2","C3","6993","0","demo","","[""video/shape_inst3_C2.mp4""]","","","",""
"","","","","","video-button-response","8","401005","0.0-4.0-0.0-0.0-0.0-4.0","LP","C2","o3","LP_C2","C3","null","null","demo","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","video-button-response","9","410584","0.0-4.0-0.0-0.0-0.0-5.0","LP","C2","o3","LP_C2","C3","null","null","demo","","[""video/shape_inst4_C2.mp4""]","","","",""
"","","","","","video-button-response","10","421656","0.0-4.0-0.0-0.0-0.0-6.0","LP","C2","o3","LP_C2","C3","null","null","demo","","[""video/shape_inst5_C2.mp4""]","","","",""
"","","","","","html-button-response","11","429567","0.0-4.0-0.0-0.0-0.0-7.0","LP","C2","o3","LP_C2","C3","7908","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","438777","0.0-4.0-1.0-0.0-0.0-0.0","LP","C2","o3","LP_C2","C3","9207","1","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/25r.png"",""img/shape/73o.png"",""img/shape/86g.png"",""img/shape/44b.png""]","[]","false",""
"","","","","","video-button-response","13","440278","0.0-4.0-1.0-0.0-0.0-1.0","LP","C2","o3","LP_C2","C3","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","14","450655","0.0-4.0-1.0-0.0-0.0-0.1","LP","C2","o3","LP_C2","C3","10374","2","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/14g.png"",""img/shape/33o.png"",""img/shape/56r.png"",""img/shape/75b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","15","452152","0.0-4.0-1.0-0.0-0.0-1.1","LP","C2","o3","LP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","16","458906","0.0-4.0-1.0-0.0-0.0-0.2","LP","C2","o3","LP_C2","C3","6752","2","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/34o.png"",""img/shape/45g.png"",""img/shape/26b.png"",""img/shape/83r.png""]","[]","false",""
"","","","","","video-button-response","17","460367","0.0-4.0-1.0-0.0-0.0-1.2","LP","C2","o3","LP_C2","C3","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","18","467396","0.0-4.0-1.0-0.0-0.0-0.3","LP","C2","o3","LP_C2","C3","7028","0","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/13b.png"",""img/shape/74r.png"",""img/shape/46o.png"",""img/shape/85g.png""]","[]","false",""
"","","","","","video-button-response","19","468858","0.0-4.0-1.0-0.0-0.0-1.3","LP","C2","o3","LP_C2","C3","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","20","472173","0.0-4.0-1.0-0.0-0.0-0.4","LP","C2","o3","LP_C2","C3","3314","1","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/43o.png"",""img/shape/65r.png"",""img/shape/54g.png"",""img/shape/36b.png""]","[]","false",""
"","","","","","video-button-response","21","473635","0.0-4.0-1.0-0.0-0.0-1.4","LP","C2","o3","LP_C2","C3","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","22","478406","0.0-4.0-1.0-0.0-0.0-0.5","LP","C2","o3","LP_C2","C3","4770","2","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/63g.png"",""img/shape/76b.png"",""img/shape/15o.png"",""img/shape/34r.png""]","[]","false",""
