"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","5","0.0-0.0","LP","C1","o2","LP_C1","C2","","","","","","","","",""
"","","","","","survey-text","1","98150","0.0-1.0","LP","C1","o2","LP_C1","C2","98122","{""participant_name"":""Mila"",""participant_ID"":""014""}","id-question","","","","","",""
"","","","","","survey","2","110883","0.0-2.0","LP","C1","o2","LP_C1","C2","12664","{""condition"":""LP"",""counterbalancing"":""1"",""order"":2}","version","[]","","","","",""
"true","","","","","fullscreen","3","117766","0.0-3.0","LP","C1","o2","LP_C1","C2","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","127392","0.0-4.0-0.0-0.0-0.0-0.0","LP","C1","o2","LP_C1","C2","null","null","demo","","[""video/shape_inst1_C1.mp4""]","","","",""
"","","","","","video-button-response","5","145950","0.0-4.0-0.0-0.0-0.0-1.0","LP","C1","o2","LP_C1","C2","18552","0","demo","","[""video/shape_inst2_C1.mp4""]","","","",""
"","","","","","video-button-response","6","147421","0.0-4.0-0.0-0.0-0.0-2.0","LP","C1","o2","LP_C1","C2","null","null","demo","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","video-button-response","7","155104","0.0-4.0-0.0-0.0-0.0-3.0","LP","C1","o2","LP_C1","C2","7680","0","demo","","[""video/shape_inst3_C1.mp4""]","","","",""
"","","","","","video-button-response","8","156595","0.0-4.0-0.0-0.0-0.0-4.0","LP","C1","o2","LP_C1","C2","null","null","demo","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","video-button-response","9","166518","0.0-4.0-0.0-0.0-0.0-5.0","LP","C1","o2","LP_C1","C2","null","null","demo","","[""video/shape_inst4_C1.mp4""]","","","",""
"","","","","","video-button-response","10","177823","0.0-4.0-0.0-0.0-0.0-6.0","LP","C1","o2","LP_C1","C2","null","null","demo","","[""video/shape_inst5_C1.mp4""]","","","",""
"","","","","","html-button-response","11","182995","0.0-4.0-0.0-0.0-0.0-7.0","LP","C1","o2","LP_C1","C2","5170","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","195338","0.0-4.0-1.0-0.0-0.0-0.0","LP","C1","o2","LP_C1","C2","12339","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/25r.png"",""img/shape/73o.png"",""img/shape/86g.png"",""img/shape/44b.png""]","[]","false",""
"","","","","","video-button-response","13","196835","0.0-4.0-1.0-0.0-0.0-1.0","LP","C1","o2","LP_C1","C2","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","14","205953","0.0-4.0-1.0-0.0-0.0-0.1","LP","C1","o2","LP_C1","C2","9115","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/43r.png"",""img/shape/15g.png"",""img/shape/66b.png"",""img/shape/24o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","15","207458","0.0-4.0-1.0-0.0-0.0-1.1","LP","C1","o2","LP_C1","C2","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","16","217238","0.0-4.0-1.0-0.0-0.0-0.2","LP","C1","o2","LP_C1","C2","9779","3","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/34o.png"",""img/shape/45g.png"",""img/shape/26b.png"",""img/shape/83r.png""]","[]","false",""
"","","","","","video-button-response","17","218735","0.0-4.0-1.0-0.0-0.0-1.2","LP","C1","o2","LP_C1","C2","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","18","226189","0.0-4.0-1.0-0.0-0.0-0.3","LP","C1","o2","LP_C1","C2","7453","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/43o.png"",""img/shape/65r.png"",""img/shape/54g.png"",""img/shape/36b.png""]","[]","false",""
"","","","","","video-button-response","19","227673","0.0-4.0-1.0-0.0-0.0-1.3","LP","C1","o2","LP_C1","C2","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","20","232640","0.0-4.0-1.0-0.0-0.0-0.4","LP","C1","o2","LP_C1","C2","4965","3","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/35b.png"",""img/shape/64o.png"",""img/shape/23g.png"",""img/shape/16r.png""]","[]","false",""
"","","","","","video-button-response","21","234117","0.0-4.0-1.0-0.0-0.0-1.4","LP","C1","o2","LP_C1","C2","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","22","241288","0.0-4.0-1.0-0.0-0.0-0.5","LP","C1","o2","LP_C1","C2","7166","3","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/63g.png"",""img/shape/76b.png"",""img/shape/15o.png"",""img/shape/34r.png""]","[]","false",""
"","","","","","video-button-response","23","242782","0.0-4.0-1.0-0.0-0.0-1.5","LP","C1","o2","LP_C1","C2","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","24","256638","0.0-4.0-1.0-0.0-0.0-0.6","LP","C1","o2","LP_C1","C2","13855","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/13b.png"",""img/shape/74r.png"",""img/shape/46o.png"",""img/shape/85g.png""]","[]","false",""
"","","","","","video-button-response","25","258110","0.0-4.0-1.0-0.0-0.0-1.6","LP","C1","o2","LP_C1","C2","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","26","265281","0.0-4.0-1.0-0.0-0.0-0.7","LP","C1","o2","LP_C1","C2","7170","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/14g.png"",""img/shape/33o.png"",""img/shape/56r.png"",""img/shape/75b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","27","266771","0.0-4.0-1.0-0.0-0.0-1.7","LP","C1","o2","LP_C1","C2","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","video-button-response","28","279551","0.0-4.0-1.0-2.0","LP","C1","o2","LP_C1","C2","null","null","night1","","[""video/night1_LP_C1.mp4""]","","","",""
"","","","","","html-button-response","29","297050","0.0-4.0-2.0-0.0-0.0-0.0","LP","C1","o2","LP_C1","C2","17481","0","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/64r.png"",""img/shape/13g.png"",""img/shape/56b.png"",""img/shape/45o.png""]","[]","false",""
"","","","","","video-button-response","30","298546","0.0-4.0-2.0-0.0-0.0-1.0","LP","C1","o2","LP_C1","C2","null","null","day-2","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","31","303492","0.0-4.0-2.0-0.0-0.0-0.1","LP","C1","o2","LP_C1","C2","4944","3","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/25b.png"",""img/shape/14o.png"",""img/shape/36g.png"",""img/shape/53r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","32","304984","0.0-4.0-2.0-0.0-0.0-1.1","LP","C1","o2","LP_C1","C2","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","33","310594","0.0-4.0-2.0-0.0-0.0-0.2","LP","C1","o2","LP_C1","C2","5608","3","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/75g.png"",""img/shape/63o.png"",""img/shape/86r.png"",""img/shape/54b.png""]","[]","false",""
"","","","","","video-button-response","34","312067","0.0-4.0-2.0-0.0-0.0-1.2","LP","C1","o2","LP_C1","C2","null","null","day-2","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","35","314457","0.0-4.0-2.0-0.0-0.0-0.3","LP","C1","o2","LP_C1","C2","2387","2","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/15r.png"",""img/shape/34b.png"",""img/shape/66g.png"",""img/shape/23o.png""]","[]","false",""
"","","","","","video-button-response","36","315928","0.0-4.0-2.0-0.0-0.0-1.3","LP","C1","o2","LP_C1","C2","null","null","day-2","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","37","318034","0.0-4.0-2.0-0.0-0.0-0.4","LP","C1","o2","LP_C1","C2","2106","3","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/53g.png"",""img/shape/46r.png"",""img/shape/85o.png"",""img/shape/74b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","38","319513","0.0-4.0-2.0-0.0-0.0-1.4","LP","C1","o2","LP_C1","C2","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","39","322811","0.0-4.0-2.0-0.0-0.0-0.5","LP","C1","o2","LP_C1","C2","3297","3","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/44g.png"",""img/shape/33r.png"",""img/shape/65b.png"",""img/shape/16o.png""]","[0,1,2,3]","true",""
