"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","LP","C2","o1","LP_C2","C4","","","","","","","","",""
"","","","","","survey-text","1","5042","0.0-1.0","LP","C2","o1","LP_C2","C4","5018","{""participant_name"":""Adrian"",""participant_ID"":""006""}","id-question","","","","","",""
"","","","","","survey","2","9693","0.0-2.0","LP","C2","o1","LP_C2","C4","4585","{""condition"":""LP"",""counterbalancing"":""2"",""order"":1}","version","[]","","","","",""
"true","","","","","fullscreen","3","20396","0.0-3.0","LP","C2","o1","LP_C2","C4","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","29674","0.0-4.0-0.0-0.0-0.0-0.0","LP","C2","o1","LP_C2","C4","null","null","demo","","[""video/shape_inst1_C2.mp4""]","","","",""
"","","","","","video-button-response","5","37929","0.0-4.0-0.0-0.0-0.0-1.0","LP","C2","o1","LP_C2","C4","8252","0","demo","","[""video/shape_inst2_C2.mp4""]","","","",""
"","","","","","video-button-response","6","39422","0.0-4.0-0.0-0.0-0.0-2.0","LP","C2","o1","LP_C2","C4","null","null","demo","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","video-button-response","7","47844","0.0-4.0-0.0-0.0-0.0-3.0","LP","C2","o1","LP_C2","C4","8420","0","demo","","[""video/shape_inst3_C2.mp4""]","","","",""
"","","","","","video-button-response","8","49322","0.0-4.0-0.0-0.0-0.0-4.0","LP","C2","o1","LP_C2","C4","null","null","demo","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","video-button-response","9","58921","0.0-4.0-0.0-0.0-0.0-5.0","LP","C2","o1","LP_C2","C4","null","null","demo","","[""video/shape_inst4_C2.mp4""]","","","",""
"","","","","","video-button-response","10","69992","0.0-4.0-0.0-0.0-0.0-6.0","LP","C2","o1","LP_C2","C4","null","null","demo","","[""video/shape_inst5_C2.mp4""]","","","",""
"","","","","","html-button-response","11","82060","0.0-4.0-0.0-0.0-0.0-7.0","LP","C2","o1","LP_C2","C4","12066","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","96489","0.0-4.0-1.0-0.0-0.0-0.0","LP","C2","o1","LP_C2","C4","14425","2","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/34o.png"",""img/shape/45g.png"",""img/shape/26b.png"",""img/shape/83r.png""]","[]","false",""
"","","","","","video-button-response","13","97993","0.0-4.0-1.0-0.0-0.0-1.0","LP","C2","o1","LP_C2","C4","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","14","105058","0.0-4.0-1.0-0.0-0.0-0.1","LP","C2","o1","LP_C2","C4","7064","3","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/35b.png"",""img/shape/64o.png"",""img/shape/23g.png"",""img/shape/16r.png""]","[]","false",""
"","","","","","video-button-response","15","106548","0.0-4.0-1.0-0.0-0.0-1.1","LP","C2","o1","LP_C2","C4","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","16","116614","0.0-4.0-1.0-0.0-0.0-0.2","LP","C2","o1","LP_C2","C4","10065","3","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/43r.png"",""img/shape/15g.png"",""img/shape/66b.png"",""img/shape/24o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","17","118144","0.0-4.0-1.0-0.0-0.0-1.2","LP","C2","o1","LP_C2","C4","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","18","125810","0.0-4.0-1.0-0.0-0.0-0.3","LP","C2","o1","LP_C2","C4","7665","2","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/25r.png"",""img/shape/73o.png"",""img/shape/86g.png"",""img/shape/44b.png""]","[]","false",""
"","","","","","video-button-response","19","127296","0.0-4.0-1.0-0.0-0.0-1.3","LP","C2","o1","LP_C2","C4","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","20","131426","0.0-4.0-1.0-0.0-0.0-0.4","LP","C2","o1","LP_C2","C4","4129","2","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/43o.png"",""img/shape/65r.png"",""img/shape/54g.png"",""img/shape/36b.png""]","[]","false",""
"","","","","","video-button-response","21","132906","0.0-4.0-1.0-0.0-0.0-1.4","LP","C2","o1","LP_C2","C4","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","22","140341","0.0-4.0-1.0-0.0-0.0-0.5","LP","C2","o1","LP_C2","C4","7433","3","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/63g.png"",""img/shape/76b.png"",""img/shape/15o.png"",""img/shape/34r.png""]","[]","false",""
"","","","","","video-button-response","23","141802","0.0-4.0-1.0-0.0-0.0-1.5","LP","C2","o1","LP_C2","C4","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","24","149993","0.0-4.0-1.0-0.0-0.0-0.6","LP","C2","o1","LP_C2","C4","8189","1","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/13b.png"",""img/shape/74r.png"",""img/shape/46o.png"",""img/shape/85g.png""]","[]","false",""
"","","","","","video-button-response","25","151487","0.0-4.0-1.0-0.0-0.0-1.6","LP","C2","o1","LP_C2","C4","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","26","162163","0.0-4.0-1.0-0.0-0.0-0.7","LP","C2","o1","LP_C2","C4","10674","1","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/14g.png"",""img/shape/33o.png"",""img/shape/56r.png"",""img/shape/75b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","27","163663","0.0-4.0-1.0-0.0-0.0-1.7","LP","C2","o1","LP_C2","C4","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","video-button-response","28","176442","0.0-4.0-1.0-2.0","LP","C2","o1","LP_C2","C4","null","null","night1","","[""video/night1_LP_C2.mp4""]","","","",""
"","","","","","html-button-response","29","182134","0.0-4.0-2.0-0.0-0.0-0.0","LP","C2","o1","LP_C2","C4","5691","2","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/53g.png"",""img/shape/46r.png"",""img/shape/85o.png"",""img/shape/74b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","30","183609","0.0-4.0-2.0-0.0-0.0-1.0","LP","C2","o1","LP_C2","C4","null","null","day-2","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","31","187247","0.0-4.0-2.0-0.0-0.0-0.1","LP","C2","o1","LP_C2","C4","3635","1","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/15r.png"",""img/shape/34b.png"",""img/shape/66g.png"",""img/shape/23o.png""]","[]","false",""
"","","","","","video-button-response","32","188729","0.0-4.0-2.0-0.0-0.0-1.1","LP","C2","o1","LP_C2","C4","null","null","day-2","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","33","194060","0.0-4.0-2.0-0.0-0.0-0.2","LP","C2","o1","LP_C2","C4","5329","1","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/55r.png"",""img/shape/26g.png"",""img/shape/43b.png"",""img/shape/74o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","34","195534","0.0-4.0-2.0-0.0-0.0-1.2","LP","C2","o1","LP_C2","C4","null","null","day-2","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","35","199255","0.0-4.0-2.0-0.0-0.0-0.3","LP","C2","o1","LP_C2","C4","3720","3","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/75g.png"",""img/shape/63o.png"",""img/shape/86r.png"",""img/shape/54b.png""]","[]","false",""
"","","","","","video-button-response","36","200782","0.0-4.0-2.0-0.0-0.0-1.3","LP","C2","o1","LP_C2","C4","null","null","day-2","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","37","204508","0.0-4.0-2.0-0.0-0.0-0.4","LP","C2","o1","LP_C2","C4","3724","3","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/44g.png"",""img/shape/33r.png"",""img/shape/65b.png"",""img/shape/16o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","38","205995","0.0-4.0-2.0-0.0-0.0-1.4","LP","C2","o1","LP_C2","C4","null","null","day-2","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","39","212946","0.0-4.0-2.0-0.0-0.0-0.5","LP","C2","o1","LP_C2","C4","6950","0","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/64r.png"",""img/shape/13g.png"",""img/shape/56b.png"",""img/shape/45o.png""]","[]","false",""
"","","","","","video-button-response","40","214436","0.0-4.0-2.0-0.0-0.0-1.5","LP","C2","o1","LP_C2","C4","null","null","day-2","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","41","218533","0.0-4.0-2.0-0.0-0.0-0.6","LP","C2","o1","LP_C2","C4","4096","1","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/35g.png"",""img/shape/16b.png"",""img/shape/73r.png"",""img/shape/54o.png""]","[]","false",""
"","","","","","video-button-response","42","220004","0.0-4.0-2.0-0.0-0.0-1.6","LP","C2","o1","LP_C2","C4","null","null","day-2","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","43","225551","0.0-4.0-2.0-0.0-0.0-0.7","LP","C2","o1","LP_C2","C4","5546","3","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/25b.png"",""img/shape/14o.png"",""img/shape/36g.png"",""img/shape/53r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","44","227022","0.0-4.0-2.0-0.0-0.0-1.7","LP","C2","o1","LP_C2","C4","null","null","day-2","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","video-button-response","45","241316","0.0-4.0-2.0-2.0","LP","C2","o1","LP_C2","C4","null","null","night2","","[""video/night2_LP_C2.mp4""]","","","",""
"","","","","","html-button-response","46","246174","0.0-4.0-3.0-0.0-0.0","LP","C2","o1","LP_C2","C4","4857","2","day-3","","<img src=""img/char1_C2.png""></img>","[""img/shape/45r.png"",""img/shape/13o.png"",""img/shape/24b.png"",""img/shape/56g.png""]","[]","false",""
"","","","","","video-button-response","47","247651","0.0-4.0-3.0-0.0-1.0","LP","C2","o1","LP_C2","C4","null","null","day-3","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","48","250089","0.0-4.0-3.0-0.0-0.1","LP","C2","o1","LP_C2","C4","2436","2","day-3","","<img src=""img/char1_C2.png""></img>","[""img/shape/85r.png"",""img/shape/46b.png"",""img/shape/53o.png"",""img/shape/24g.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","49","251555","0.0-4.0-3.0-0.0-1.1","LP","C2","o1","LP_C2","C4","null","null","day-3","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","50","254722","0.0-4.0-3.0-0.0-0.2","LP","C2","o1","LP_C2","C4","3166","3","day-3","","<img src=""img/char1_C2.png""></img>","[""img/shape/15b.png"",""img/shape/83g.png"",""img/shape/44r.png"",""img/shape/26o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","51","256185","0.0-4.0-3.0-0.0-1.2","LP","C2","o1","LP_C2","C4","null","null","day-3","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","52","259441","0.0-4.0-3.0-0.0-0.3","LP","C2","o1","LP_C2","C4","3256","3","day-3","","<img src=""img/char1_C2.png""></img>","[""img/shape/35r.png"",""img/shape/43g.png"",""img/shape/76o.png"",""img/shape/64b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","53","260920","0.0-4.0-3.0-0.0-1.3","LP","C2","o1","LP_C2","C4","null","null","day-3","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","54","270683","0.0-4.0-3.0-0.0-0.4","LP","C2","o1","LP_C2","C4","9761","3","day-3","","<img src=""img/char1_C2.png""></img>","[""img/shape/16g.png"",""img/shape/54r.png"",""img/shape/73b.png"",""img/shape/35o.png""]","[]","false",""
"","","","","","video-button-response","55","272163","0.0-4.0-3.0-0.0-1.4","LP","C2","o1","LP_C2","C4","null","null","day-3","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","56","277370","0.0-4.0-3.0-0.0-0.5","LP","C2","o1","LP_C2","C4","5206","2","day-3","","<img src=""img/char1_C2.png""></img>","[""img/shape/33b.png"",""img/shape/25g.png"",""img/shape/14r.png"",""img/shape/66o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","57","278840","0.0-4.0-3.0-0.0-1.5","LP","C2","o1","LP_C2","C4","null","null","day-3","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","58","283701","0.0-4.0-3.0-0.0-0.6","LP","C2","o1","LP_C2","C4","4859","1","day-3","","<img src=""img/char1_C2.png""></img>","[""img/shape/55b.png"",""img/shape/74g.png"",""img/shape/63r.png"",""img/shape/36o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","59","285176","0.0-4.0-3.0-0.0-1.6","LP","C2","o1","LP_C2","C4","null","null","day-3","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","60","287846","0.0-4.0-3.0-0.0-0.7","LP","C2","o1","LP_C2","C4","2669","2","day-3","","<img src=""img/char1_C2.png""></img>","[""img/shape/75o.png"",""img/shape/23r.png"",""img/shape/34g.png"",""img/shape/86b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","61","289336","0.0-4.0-3.0-0.0-1.7","LP","C2","o1","LP_C2","C4","null","null","day-3","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","video-button-response","62","312504","0.0-4.0-3.0-1.0","LP","C2","o1","LP_C2","C4","null","null","night3","","[""video/night3_LP_C2.mp4""]","","","",""
