"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","NLP","C1","o2","NLP_C1","C3","","","","","","","","",""
"","","","","","survey-text","1","10883","0.0-1.0","NLP","C1","o2","NLP_C1","C3","10849","{""participant_name"":""Sophie"",""participant_ID"":""009""}","id-question","","","","","",""
"","","","","","survey","2","17041","0.0-2.0","NLP","C1","o2","NLP_C1","C3","6098","{""condition"":""NLP"",""counterbalancing"":""1"",""order"":2}","version","[]","","","","",""
"true","","","","","fullscreen","3","72965","0.0-3.0","NLP","C1","o2","NLP_C1","C3","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","82535","0.0-4.0-0.0-0.0-0.0-0.0","NLP","C1","o2","NLP_C1","C3","null","null","demo","","[""video/shape_inst1_C1.mp4""]","","","",""
"","","","","","video-button-response","5","90899","0.0-4.0-0.0-0.0-0.0-1.0","NLP","C1","o2","NLP_C1","C3","8360","0","demo","","[""video/shape_inst2_C1.mp4""]","","","",""
"","","","","","video-button-response","6","92369","0.0-4.0-0.0-0.0-0.0-2.0","NLP","C1","o2","NLP_C1","C3","null","null","demo","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","video-button-response","7","100438","0.0-4.0-0.0-0.0-0.0-3.0","NLP","C1","o2","NLP_C1","C3","8066","0","demo","","[""video/shape_inst3_C1.mp4""]","","","",""
"","","","","","video-button-response","8","101928","0.0-4.0-0.0-0.0-0.0-4.0","NLP","C1","o2","NLP_C1","C3","null","null","demo","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","video-button-response","9","111869","0.0-4.0-0.0-0.0-0.0-5.0","NLP","C1","o2","NLP_C1","C3","null","null","demo","","[""video/shape_inst4_C1.mp4""]","","","",""
"","","","","","video-button-response","10","123175","0.0-4.0-0.0-0.0-0.0-6.0","NLP","C1","o2","NLP_C1","C3","null","null","demo","","[""video/shape_inst5_C1.mp4""]","","","",""
"","","","","","html-button-response","11","128703","0.0-4.0-0.0-0.0-0.0-7.0","NLP","C1","o2","NLP_C1","C3","5526","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","133625","0.0-4.0-1.0-1.0-0.0-0.0","NLP","C1","o2","NLP_C1","C3","4918","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/25r.png"",""img/shape/73o.png"",""img/shape/86g.png"",""img/shape/44b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","13","135137","0.0-4.0-1.0-1.0-0.0-1.0","NLP","C1","o2","NLP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","14","144642","0.0-4.0-1.0-1.0-0.0-0.1","NLP","C1","o2","NLP_C1","C3","9501","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/14g.png"",""img/shape/33o.png"",""img/shape/56r.png"",""img/shape/75b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","15","146164","0.0-4.0-1.0-1.0-0.0-1.1","NLP","C1","o2","NLP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","16","151229","0.0-4.0-1.0-1.0-0.0-0.2","NLP","C1","o2","NLP_C1","C3","5064","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/35b.png"",""img/shape/64o.png"",""img/shape/23g.png"",""img/shape/16r.png""]","[]","false",""
"","","","","","video-button-response","17","152713","0.0-4.0-1.0-1.0-0.0-1.2","NLP","C1","o2","NLP_C1","C3","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","18","158691","0.0-4.0-1.0-1.0-0.0-0.3","NLP","C1","o2","NLP_C1","C3","5976","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/34o.png"",""img/shape/45g.png"",""img/shape/26b.png"",""img/shape/83r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","19","160159","0.0-4.0-1.0-1.0-0.0-1.3","NLP","C1","o2","NLP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","20","163561","0.0-4.0-1.0-1.0-0.0-0.4","NLP","C1","o2","NLP_C1","C3","3401","3","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/13b.png"",""img/shape/74r.png"",""img/shape/46o.png"",""img/shape/85g.png""]","[]","false",""
"","","","","","video-button-response","21","165090","0.0-4.0-1.0-1.0-0.0-1.4","NLP","C1","o2","NLP_C1","C3","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","22","171797","0.0-4.0-1.0-1.0-0.0-0.5","NLP","C1","o2","NLP_C1","C3","6706","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/43r.png"",""img/shape/15g.png"",""img/shape/66b.png"",""img/shape/24o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","23","173280","0.0-4.0-1.0-1.0-0.0-1.5","NLP","C1","o2","NLP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
