"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","NLP","C1","o3","NLP_C1","C3","","","","","","","","",""
"","","","","","survey-text","1","321298","0.0-1.0","NLP","C1","o3","NLP_C1","C3","321270","{""participant_name"":""Graham"",""participant_ID"":""015""}","id-question","","","","","",""
"","","","","","survey","2","327678","0.0-2.0","NLP","C1","o3","NLP_C1","C3","6321","{""condition"":""NLP"",""counterbalancing"":""1"",""order"":3}","version","[]","","","","",""
"true","","","","","fullscreen","3","368563","0.0-3.0","NLP","C1","o3","NLP_C1","C3","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","378699","0.0-4.0-0.0-0.0-0.0-0.0","NLP","C1","o3","NLP_C1","C3","null","null","demo","","[""video/shape_inst1_C1.mp4""]","","","",""
"","","","","","video-button-response","5","392090","0.0-4.0-0.0-0.0-0.0-1.0","NLP","C1","o3","NLP_C1","C3","13380","0","demo","","[""video/shape_inst2_C1.mp4""]","","","",""
"","","","","","video-button-response","6","393672","0.0-4.0-0.0-0.0-0.0-2.0","NLP","C1","o3","NLP_C1","C3","null","null","demo","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","video-button-response","7","404234","0.0-4.0-0.0-0.0-0.0-3.0","NLP","C1","o3","NLP_C1","C3","10560","0","demo","","[""video/shape_inst3_C1.mp4""]","","","",""
"","","","","","video-button-response","8","405831","0.0-4.0-0.0-0.0-0.0-4.0","NLP","C1","o3","NLP_C1","C3","null","null","demo","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","video-button-response","9","415772","0.0-4.0-0.0-0.0-0.0-5.0","NLP","C1","o3","NLP_C1","C3","null","null","demo","","[""video/shape_inst4_C1.mp4""]","","","",""
"","","","","","video-button-response","10","427228","0.0-4.0-0.0-0.0-0.0-6.0","NLP","C1","o3","NLP_C1","C3","null","null","demo","","[""video/shape_inst5_C1.mp4""]","","","",""
"","","","","","html-button-response","11","432929","0.0-4.0-0.0-0.0-0.0-7.0","NLP","C1","o3","NLP_C1","C3","5699","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","438737","0.0-4.0-1.0-1.0-0.0-0.0","NLP","C1","o3","NLP_C1","C3","5804","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/43o.png"",""img/shape/65r.png"",""img/shape/54g.png"",""img/shape/36b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","13","440247","0.0-4.0-1.0-1.0-0.0-1.0","NLP","C1","o3","NLP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","14","442602","0.0-4.0-1.0-1.0-0.0-0.1","NLP","C1","o3","NLP_C1","C3","2354","3","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/35b.png"",""img/shape/64o.png"",""img/shape/23g.png"",""img/shape/16r.png""]","[]","false",""
"","","","","","video-button-response","15","444087","0.0-4.0-1.0-1.0-0.0-1.1","NLP","C1","o3","NLP_C1","C3","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","16","445185","0.0-4.0-1.0-1.0-0.0-0.2","NLP","C1","o3","NLP_C1","C3","1098","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/34o.png"",""img/shape/45g.png"",""img/shape/26b.png"",""img/shape/83r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","17","446689","0.0-4.0-1.0-1.0-0.0-1.2","NLP","C1","o3","NLP_C1","C3","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","18","449364","0.0-4.0-1.0-1.0-0.0-0.3","NLP","C1","o3","NLP_C1","C3","2674","0","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/14g.png"",""img/shape/33o.png"",""img/shape/56r.png"",""img/shape/75b.png""]","[0,1,2,3]","true",""
