"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","NLP","C2","o2","NLP_C2","C3","","","","","","","","",""
"","","","","","survey-text","1","134277","0.0-1.0","NLP","C2","o2","NLP_C2","C3","134245","{""participant_name"":""Edwin"",""participant_ID"":""021""}","id-question","","","","","",""
"","","","","","survey","2","140108","0.0-2.0","NLP","C2","o2","NLP_C2","C3","5762","{""condition"":""NLP"",""counterbalancing"":""2"",""order"":2}","version","[]","","","","",""
"true","","","","","fullscreen","3","150773","0.0-3.0","NLP","C2","o2","NLP_C2","C3","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","160052","0.0-4.0-0.0-0.0-0.0-0.0","NLP","C2","o2","NLP_C2","C3","null","null","demo","","[""video/shape_inst1_C2.mp4""]","","","",""
"","","","","","video-button-response","5","168878","0.0-4.0-0.0-0.0-0.0-1.0","NLP","C2","o2","NLP_C2","C3","8822","0","demo","","[""video/shape_inst2_C2.mp4""]","","","",""
"","","","","","video-button-response","6","170376","0.0-4.0-0.0-0.0-0.0-2.0","NLP","C2","o2","NLP_C2","C3","null","null","demo","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","video-button-response","7","177597","0.0-4.0-0.0-0.0-0.0-3.0","NLP","C2","o2","NLP_C2","C3","7218","0","demo","","[""video/shape_inst3_C2.mp4""]","","","",""
"","","","","","video-button-response","8","179102","0.0-4.0-0.0-0.0-0.0-4.0","NLP","C2","o2","NLP_C2","C3","null","null","demo","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","video-button-response","9","188681","0.0-4.0-0.0-0.0-0.0-5.0","NLP","C2","o2","NLP_C2","C3","null","null","demo","","[""video/shape_inst4_C2.mp4""]","","","",""
"","","","","","video-button-response","10","199753","0.0-4.0-0.0-0.0-0.0-6.0","NLP","C2","o2","NLP_C2","C3","null","null","demo","","[""video/shape_inst5_C2.mp4""]","","","",""
"","","","","","html-button-response","11","204633","0.0-4.0-0.0-0.0-0.0-7.0","NLP","C2","o2","NLP_C2","C3","4877","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","211591","0.0-4.0-1.0-1.0-0.0-0.0","NLP","C2","o2","NLP_C2","C3","6950","2","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/63g.png"",""img/shape/76b.png"",""img/shape/15o.png"",""img/shape/34r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","13","213129","0.0-4.0-1.0-1.0-0.0-1.0","NLP","C2","o2","NLP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","14","217751","0.0-4.0-1.0-1.0-0.0-0.1","NLP","C2","o2","NLP_C2","C3","4617","2","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/35b.png"",""img/shape/64o.png"",""img/shape/23g.png"",""img/shape/16r.png""]","[]","false",""
"","","","","","video-button-response","15","219252","0.0-4.0-1.0-1.0-0.0-1.1","NLP","C2","o2","NLP_C2","C3","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","html-button-response","16","225106","0.0-4.0-1.0-1.0-0.0-0.2","NLP","C2","o2","NLP_C2","C3","5852","0","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/43o.png"",""img/shape/65r.png"",""img/shape/54g.png"",""img/shape/36b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","17","226614","0.0-4.0-1.0-1.0-0.0-1.2","NLP","C2","o2","NLP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","18","230320","0.0-4.0-1.0-1.0-0.0-0.3","NLP","C2","o2","NLP_C2","C3","3705","3","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/43r.png"",""img/shape/15g.png"",""img/shape/66b.png"",""img/shape/24o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","19","231796","0.0-4.0-1.0-1.0-0.0-1.3","NLP","C2","o2","NLP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","20","236439","0.0-4.0-1.0-1.0-0.0-0.4","NLP","C2","o2","NLP_C2","C3","4642","1","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/14g.png"",""img/shape/33o.png"",""img/shape/56r.png"",""img/shape/75b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","21","237940","0.0-4.0-1.0-1.0-0.0-1.4","NLP","C2","o2","NLP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","22","240586","0.0-4.0-1.0-1.0-0.0-0.5","NLP","C2","o2","NLP_C2","C3","2645","0","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/34o.png"",""img/shape/45g.png"",""img/shape/26b.png"",""img/shape/83r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","23","242058","0.0-4.0-1.0-1.0-0.0-1.5","NLP","C2","o2","NLP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","24","244485","0.0-4.0-1.0-1.0-0.0-0.6","NLP","C2","o2","NLP_C2","C3","2426","1","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/25r.png"",""img/shape/73o.png"",""img/shape/86g.png"",""img/shape/44b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","25","245961","0.0-4.0-1.0-1.0-0.0-1.6","NLP","C2","o2","NLP_C2","C3","null","null","day-1","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","26","248259","0.0-4.0-1.0-1.0-0.0-0.7","NLP","C2","o2","NLP_C2","C3","2296","2","day-1","","<img src=""img/char1_C2.png""></img>","[""img/shape/13b.png"",""img/shape/74r.png"",""img/shape/46o.png"",""img/shape/85g.png""]","[]","false",""
"","","","","","video-button-response","27","249737","0.0-4.0-1.0-1.0-0.0-1.7","NLP","C2","o2","NLP_C2","C3","null","null","day-1","","[""video/trial_wrong_C2.mp4""]","","","",""
"","","","","","video-button-response","28","265204","0.0-4.0-1.0-2.0","NLP","C2","o2","NLP_C2","C3","null","null","night1","","[""video/night1_NLP_C2.mp4""]","","","",""
"","","","","","html-button-response","29","270051","0.0-4.0-2.0-1.0-0.0-0.0","NLP","C2","o2","NLP_C2","C3","4845","1","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/75g.png"",""img/shape/63o.png"",""img/shape/86r.png"",""img/shape/54b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","30","271518","0.0-4.0-2.0-1.0-0.0-1.0","NLP","C2","o2","NLP_C2","C3","null","null","day-2","","[""video/trial_correct_C2.mp4""]","","","",""
"","","","","","html-button-response","31","273915","0.0-4.0-2.0-1.0-0.0-0.1","NLP","C2","o2","NLP_C2","C3","2396","3","day-2","","<img src=""img/char1_C2.png""></img>","[""img/shape/15r.png"",""img/shape/34b.png"",""img/shape/66g.png"",""img/shape/23o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","32","275401","0.0-4.0-2.0-1.0-0.0-1.1","NLP","C2","o2","NLP_C2","C3","null","null","day-2","","[""video/trial_correct_C2.mp4""]","","","",""
